dma,team,Month,nba games watched unweighted,nba tv shows watched unweighted,nba games watched - unique users unweighted,nba tv shows watched - unique users unweighted,nba games watched,nba tv shows watched,nba games watched - unique users,nba tv shows watched - unique users,num_users,weighted_num_users
557,Unsure,2021-12-01,4289,5954,857,1046,5158.12827684765,7159.73541139273,1030.65124861581,1257.49345322322,9648,11623.255163041225
557,Unsure,2022-01-01,4159,5795,703,884,4956.73386090159,6906.58174001629,837.789058382245,1053.50837835203,9585,11445.708237668743
557,Unsure,2022-02-01,4596,6340,883,1065,5501.88697459419,7589.63083339992,1057.1565479792,1275.01916329674,9176,10997.138463347546
557,Unsure,2022-03-01,4828,6385,888,1072,5826.61569740892,7705.74057752732,1071.60802040684,1293.64871927979,9268,11203.646890978638
557,Unsure,2022-04-01,13698,16359,1427,1584,16666.002078793,19902.8234522329,1735.87739641113,1926.64356392407,9066,11032.802003865601
557,Unsure,2022-05-01,17054,20623,1742,1880,20967.3272702239,25356.4332109421,2141.82906582542,2311.71044247005,9115,11225.840057237132
557,Unsure,2022-06-01,5632,8573,1418,1863,7002.65795754969,10656.00434727,1762.10610792435,2314.79907644472,8898,11065.216679803172
557,Unsure,2022-07-01,1232,1689,340,439,1536.17001484294,2106.02777897393,423.945639172327,547.393987390981,8986,11253.144990051813
557,Unsure,2022-08-01,61,328,33,134,77.4304405754844,416.26262818112,41.8892237824901,169.974038339525,8694,11057.43103175172
557,Unsure,2022-09-01,26,363,14,172,33.4170791545357,466.691700555003,17.9884580855619,221.160169142797,8770,11281.049710313499
557,Unsure,2022-10-01,3274,4275,511,637,4319.88413905994,5640.38782365539,674.132949731746,840.228012285645,8392,11033.239601027919
558,Unsure,2021-04-01,632,749,73,81,1078.53742258345,1277.90010724058,122.934607213251,136.725091283996,826,1391.4440685948211
558,Unsure,2021-05-01,1460,1691,120,133,2651.87445513626,3071.21202803017,217.973476124084,241.615321280214,801,1451.1791587305734
558,Unsure,2021-06-01,1803,2190,113,121,3323.64640507937,4037.05323174333,208.250805375945,222.967243304492,784,1448.8532854464302
558,Unsure,2021-07-01,566,729,90,101,1060.76880436704,1366.72185489497,168.6587440941,189.437287112948,790,1487.8643052350617
558,Unsure,2021-08-01,97,98,28,28,186.688948584714,188.616146305693,53.9544245679958,53.9544245679958,756,1460.8898420149833
558,Unsure,2021-09-01,1,4,1,2,1.97081742248324,7.88529936801997,1.97081742248324,3.94231140432882,745,1464.66695866529
558,Unsure,2021-10-01,326,430,51,61,653.433300244663,862.002496370806,102.165582608935,122.222724647502,742,1484.191724200183
