NBA_team,nearest_month,total n,total weighted n,Q1010_total,Q3010_total,Q1030_total,Q1040_total,Q1010_adj_total,Q3010_adj_total,Q1030_adj_total,Q1040_adj_total,Q1010_weighted_total,Q3010_weighted_total,Q1030_weighted_total,Q1040_weighted_total,Q1010_n,Q3010_n,Q1030_n,Q1040_n,Q1010_weighted_n,Q3010_weighted_n,Q1030_weighted_n,Q1040_weighted_n,Q1010,Q3010,Q1030,Q1040,Q1010_adj,Q3010_adj,Q1030_adj,Q1040_adj,Q1010_weighted,Q3010_weighted,Q1030_weighted,Q1040_weighted
Philadelphia 76ers,6/1/2021,30,35.05,62,46,105,34,9,8,8,10,12.76,7.9,11.68,12.49,22,22,16,22,23.68,23.68,16.88,23.68,2.818181818,2.090909091,6.5625,1.545454545,0.409090909,0.363636364,0.5,0.454545455,0.538851351,0.333614865,0.691943128,0.527449324
Atlanta Hawks,6/1/2021,45,44.75,98,79,144,64,13,12,10,12,8.93,8.78,11.13,8.63,38,38,20,38,33.86,33.86,23.3,33.86,2.578947368,2.078947368,7.2,1.684210526,0.342105263,0.315789474,0.5,0.315789474,0.263733018,0.259303012,0.477682403,0.254873006
Washington Wizards,6/1/2021,28,24.58,66,51,99,38,7,9,5,8,4.94,8.3,3.73,5.64,23,23,14,23,19.84,19.84,14.27,19.84,2.869565217,2.217391304,7.071428571,1.652173913,0.304347826,0.391304348,0.357142857,0.347826087,0.248991935,0.418346774,0.261387526,0.284274194
Dallas Mavericks,6/1/2021,32,31.56,71,53,107,48,5,6,5,8,4.81,6.96,7.17,8.24,28,28,15,28,25.9,25.9,16.19,25.9,2.535714286,1.892857143,7.133333333,1.714285714,0.178571429,0.214285714,0.333333333,0.285714286,0.185714286,0.268725869,0.442865967,0.318146718
Oklahoma City Thunder,6/1/2021,9,5.5,27,15,44,13,5,2,1,3,2.73,1.19,0.41,1.6,8,8,7,8,4.84,4.84,4.6,4.84,3.375,1.875,6.285714286,1.625,0.625,0.25,0.142857143,0.375,0.564049587,0.245867769,0.089130435,0.330578512
Los Angeles Lakers,6/1/2021,20,14.19,46,33,61,31,4,5,2,3,3.92,2.4,1.08,2.11,17,17,10,17,11.86,11.86,7.92,11.86,2.705882353,1.941176471,6.1,1.823529412,0.235294118,0.294117647,0.2,0.176470588,0.330522766,0.202360877,0.136363636,0.177908938
San Antonio Spurs,6/1/2021,12,9.72,39,29,83,15,7,7,6,7,5,3.91,3.17,3.93,11,11,10,11,8.64,8.64,7.68,8.64,3.545454545,2.636363636,8.3,1.363636364,0.636363636,0.636363636,0.6,0.636363636,0.578703704,0.452546296,0.412760417,0.454861111
Golden State Warriors,6/1/2021,14,23.93,43,32,68,20,7,6,4,6,17.2,13.1,3.78,14.42,13,13,9,13,23.73,23.73,11.76,23.73,3.307692308,2.461538462,7.555555556,1.538461538,0.538461538,0.461538462,0.444444444,0.461538462,0.724820902,0.552043826,0.321428571,0.607669617
Orlando Magic,6/1/2021,27,27.26,57,35,64,36,5,2,4,6,3.49,4.87,6.7,3.56,21,21,10,21,18.44,18.44,10.3,18.44,2.714285714,1.666666667,6.4,1.714285714,0.238095238,0.095238095,0.4,0.285714286,0.189262473,0.264099783,0.650485437,0.193058568
New York Knicks,6/1/2021,4,4.19,12,8,19,7,2,0,1,1,2.31,0,1.85,0.46,4,4,3,4,4.19,4.19,2.59,4.19,3,2,6.333333333,1.75,0.5,0,0.333333333,0.25,0.551312649,0,0.714285714,0.109785203
Milwaukee Bucks,6/1/2021,17,14.19,25,21,28,21,2,1,1,1,1.04,0.49,0.61,0.61,11,11,4,11,9.12,9.12,1.84,9.12,2.272727273,1.909090909,7,1.909090909,0.181818182,0.090909091,0.25,0.090909091,0.114035088,0.05372807,0.331521739,0.066885965
